,Data,Timeframe
0,2.6593,01/01/1970
1,2.6593,01/04/1970
2,2.7991,01/07/1970
3,2.9598,01/10/1970
4,2.9179,01/01/1971
5,2.8969,01/04/1971
6,3.1974,01/07/1971
7,3.4421,01/10/1971
8,3.3232,01/01/1972
9,3.2603,01/04/1972
10,3.4421,01/07/1972
11,3.6238,01/10/1972
12,3.6203,01/01/1973
13,3.6972,01/04/1973
14,3.7216,01/07/1973
15,3.7845,01/10/1973
16,4.0466,01/01/1974
17,4.3087,01/04/1974
18,4.5778,01/07/1974
19,5.0111,01/10/1974
20,5.3256,01/01/1975
21,5.6191,01/04/1975
22,6.014,01/07/1975
23,6.297,01/10/1975
24,6.6046,01/01/1976
25,6.6779,01/04/1976
26,7.0449,01/07/1976
27,7.7647,01/10/1976
28,7.6844,01/01/1977
29,7.9534,01/04/1977
30,8.8061,01/07/1977
31,9.0821,01/10/1977
32,10.0326,01/01/1978
33,10.6232,01/04/1978
34,11.371,01/07/1978
35,11.3431,01/10/1978
36,12.1782,01/01/1979
37,13.272,01/04/1979
38,13.7018,01/07/1979
39,13.6319,01/10/1979
40,14.572,01/01/1980
41,14.9389,01/04/1980
42,16.2773,01/07/1980
43,17.06,01/10/1980
44,17.2837,01/01/1981
45,17.4165,01/04/1981
46,18.657,01/07/1981
47,19.1637,01/10/1981
48,19.3244,01/01/1982
49,19.3699,01/04/1982
50,19.9709,01/07/1982
51,20.2575,01/10/1982
52,19.9954,01/01/1983
53,19.4118,01/04/1983
54,20.4182,01/07/1983
55,19.8416,01/10/1983
56,20.1736,01/01/1984
57,19.9185,01/04/1984
58,20.7747,01/07/1984
59,20.5999,01/10/1984
60,20.4671,01/01/1985
61,20.3169,01/04/1985
62,21.1346,01/07/1985
63,21.6133,01/10/1985
64,21.1521,01/01/1986
65,21.18,01/04/1986
66,22.2179,01/07/1986
67,21.9139,01/10/1986
68,21.5085,01/01/1987
69,20.7886,01/04/1987
70,22.1794,01/07/1987
71,23.3466,01/10/1987
72,22.8643,01/01/1988
73,22.3402,01/04/1988
74,23.8638,01/07/1988
75,24.6675,01/10/1988
76,25.4747,01/01/1989
77,24.4963,01/04/1989
78,26.544,01/07/1989
79,28.3052,01/10/1989
80,29.2942,01/01/1990
81,28.3262,01/04/1990
82,30.2587,01/07/1990
83,29.6541,01/10/1990
84,30.028,01/01/1991
85,28.445,01/04/1991
86,30.2237,01/07/1991
87,31.3035,01/10/1991
88,31.2301,01/01/1992
89,30.1049,01/04/1992
90,31.3909,01/07/1992
91,31.4398,01/10/1992
92,30.4648,01/01/1993
93,30.6291,01/04/1993
94,32.1527,01/07/1993
95,31.6145,01/10/1993
96,32.7223,01/01/1994
97,31.5586,01/04/1994
98,32.1422,01/07/1994
99,33.9908,01/10/1994
100,34.8364,01/01/1995
101,33.5609,01/04/1995
102,34.9867,01/07/1995
103,36.395,01/10/1995
104,36.5557,01/01/1996
105,37.0834,01/04/1996
106,41.1929,01/07/1996
107,41.6751,01/10/1996
108,41.8359,01/01/1997
109,44.0444,01/04/1997
110,47.1929,01/07/1997
111,50.7538,01/10/1997
112,52.8015,01/01/1998
113,53.9722,01/04/1998
114,56.4463,01/07/1998
115,61.5622,01/10/1998
116,63.7846,01/01/1999
117,62.5371,01/04/1999
118,68.649,01/07/1999
119,71.6752,01/10/1999
120,72.0106,01/01/2000
121,73.2791,01/04/2000
122,76.7876,01/07/2000
123,81.589,01/10/2000
124,82.0083,01/01/2001
125,82.2145,01/04/2001
126,81.0578,01/07/2001
127,82.1132,01/10/2001
128,85.1184,01/01/2002
129,86.2087,01/04/2002
130,90.2763,01/07/2002
131,93.7672,01/10/2002
