,Data,Timeframe
0,12.9,01/01/1983
1,13.2,01/02/1983
2,13.4,01/03/1983
3,13.5,01/04/1983
4,13.7,01/05/1983
5,13.9,01/06/1983
6,14,01/07/1983
7,14.1,01/08/1983
8,14.3,01/09/1983
9,14.5,01/10/1983
10,14.6,01/11/1983
11,14.7,01/12/1983
12,14.9,01/01/1984
13,15.1,01/02/1984
14,15.2,01/03/1984
15,15.3,01/04/1984
16,15.4,01/05/1984
17,15.4,01/06/1984
18,15.5,01/07/1984
19,15.6,01/08/1984
20,15.7,01/09/1984
21,15.8,01/10/1984
22,16,01/11/1984
23,16.1,01/12/1984
24,16.3,01/01/1985
25,16.6,01/02/1985
26,16.6,01/03/1985
27,16.7,01/04/1985
28,16.7,01/05/1985
29,16.8,01/06/1985
30,16.9,01/07/1985
31,17,01/08/1985
32,17.1,01/09/1985
33,17,01/10/1985
34,16.9,01/11/1985
35,17,01/12/1985
36,16.9,01/01/1986
37,16.8,01/02/1986
38,16.8,01/03/1986
39,16.8,01/04/1986
40,16.8,01/05/1986
41,16.9,01/06/1986
42,16.9,01/07/1986
43,16.8,01/08/1986
44,16.8,01/09/1986
45,16.7,01/10/1986
46,16.8,01/11/1986
47,16.8,01/12/1986
48,16.8,01/01/1987
49,16.7,01/02/1987
50,16.7,01/03/1987
51,16.7,01/04/1987
52,16.7,01/05/1987
53,16.7,01/06/1987
54,16.6,01/07/1987
55,16.5,01/08/1987
56,16.5,01/09/1987
57,16.5,01/10/1987
58,16.5,01/11/1987
59,16.5,01/12/1987
60,16.5,01/01/1988
61,16.5,01/02/1988
62,16.5,01/03/1988
63,16.4,01/04/1988
64,16.3,01/05/1988
65,16.3,01/06/1988
66,16.2,01/07/1988
67,16.2,01/08/1988
68,16.1,01/09/1988
69,16,01/10/1988
70,15.8,01/11/1988
71,15.7,01/12/1988
72,15.5,01/01/1989
73,15.4,01/02/1989
74,15.2,01/03/1989
75,15.1,01/04/1989
76,15,01/05/1989
77,14.9,01/06/1989
78,14.6,01/07/1989
79,14.5,01/08/1989
80,14.3,01/09/1989
81,14.2,01/10/1989
82,14.1,01/11/1989
83,13.9,01/12/1989
84,13.8,01/01/1990
85,13.7,01/02/1990
86,13.4,01/03/1990
87,13.2,01/04/1990
88,13.2,01/05/1990
89,13.2,01/06/1990
90,13.2,01/07/1990
91,13.3,01/08/1990
92,13.3,01/09/1990
93,13.4,01/10/1990
94,13.6,01/11/1990
95,13.7,01/12/1990
96,13.9,01/01/1991
97,14.1,01/02/1991
98,14.3,01/03/1991
99,14.6,01/04/1991
100,14.7,01/05/1991
101,14.8,01/06/1991
102,15,01/07/1991
103,15,01/08/1991
104,15.1,01/09/1991
105,15.1,01/10/1991
106,15.1,01/11/1991
107,15.1,01/12/1991
108,15.1,01/01/1992
